title,content
SSH/Telnet Configuration ,"In the vty lines, enter transport input all / transport input ssh / transport input telnet."
Store-and-Forward Switching,"Two characteristics: Error checking and Automatic buffering. Error checking does a frame check sequence (FCS) after receiving the whole frame. If the frame has no errors, it Is forwarded. Otherwise, it is dropped. Automatic Buffering allows flexibility for different Ethernet speeds."
STP Types ,"<b>STP</b> - Original IEEE version, assumes 1 spanning tree regardless of VLANs. <b>PVST+</b> - Cisco enhancement of STP, provides separate tree instance for each VLAN, supports PortFast, UplinkFast, BackboneFast, BPU guard & filter, root and loop guards. RSTP - Faster upgrade of STP. <b>Rapid PVST+</b> - Cisco enhancement  of RSTP, each separate tree insurance supports the services above in PVST+. <b>MSTP</b> - IEEE standard, maps multiple VLANs to same spanning tree instance. <b>MST</b> - Same physical and logical topology as MSTP, provides 16 instances of RSTP and combines many VLANs into the same physical and logical topology as RSTP instance. Supports services like PVST+ above."
Subinterface Configuration ,"In the subinterface config (e.g. interface G0/0/1.10 for vlan 10), type encapsulation dot1Q <vlan id>, then type ip add <ip addr> <subnet mask>. (Good to put description too)"
SVI inter-vlan routing benefits ,"Faster switching of packets, and there is no need for a connection to a router."
Switch Boot Up Sequence,<ol><li>Switch loads and executes Power-On-Self-Test (POST)</li><li>Switch loads boot loader software.</li><li>Boot loader performs low-level CPU initialization.</li><li>Boot loader initializes flash memory.</li><li>Boot loader locates and loads default IOS image from BOOT environment variable.</li></ol>
Switch Buffers,"Switches have large frame buffers that allow data waiting to be transmitted to be stored so the data will not be dropped. This feature is beneficial especially if the incoming traffic is from a faster port than the egress port used for transmitting, and prevents premature frame discarding when network congestion occurs.<br>Related questions:<i><ul><li>How do switch buffers affect network performance?</li></ul></i>"
Switch Forwarding Methods ,"Store & forward: Check for errors, if err drop frame, auto buffering for duplex mismatch. Cut-through: Ignore errors, less latency."
Switch LED Indicators,"<img src='data/images/C328_LED_Indicators.png'><br>System LED: (Shows if system is receiving power & functioning properly)<table><thead><tr><th>Colour</th><th>Description</th><tr></thead><tbody><tr><td>NIL</td><td>Off</td></tr><tr><td>Green</td><td>Normal Operation</td></tr><tr><td>Amber</td><td>Receiving power, but not working properly</td></tr></tbody></table><br>Redundant Power System (RPS) LED: (Shows the RPS status)<table><thead><tr><th>Colour</th><th>Description</th><tr></thead><tbody><tr><td>NIL</td><td>Off / Improper Connection</td></tr><tr><td>Green</td><td>Connected, ready to give backup power</td></tr><tr><td>Blinking Green</td><td>Connected, backup power given to other device</td></tr><tr><td>Amber</td><td>Standby mode, fault condition</td></tr><tr><td>Blinking Amber</td><td>Internal power supply fails in switch, RPS give power</td></tr></tbody></table><br>Port Status LED: (Indicates that the port status mode is selected when the LED is green. [Default mode])<table><thead><tr><th>Colour</th><th>Description</th><tr></thead><tbody><tr><td>NIL</td><td>No link / Port is shut down</td></tr><tr><td>Green</td><td>Link Present</td></tr><tr><td>Green-Amber</td><td>Port is sending/receiving data, activity happening</td></tr><tr><td>Amber</td><td>Port blocked, preventing loop in forward domain (e.g., STP blocked port), no data forwarding (Ports remain in this state for 30s when activated)</td></tr><tr><td>Blinking Amber</td><td>Port blocked, prevent possible loop in forward domain</td></tr></tbody></table><br>Port Duplex LED: (Indicates that the port duplex mode is selected when the LED is green)<table><thead><tr><th>Colour</th><th>Description</th><tr></thead><tbody><tr><td>NIL</td><td>Half-duplex mode</td></tr><tr><td>Green</td><td>Full-duplex mode</td></tr></tbody></table><br>Port Speed LED: (Indicates that the port speed mode is selected)<table><thead><tr><th>Colour</th><th>Description</th><tr></thead><tbody><tr><td>NIL</td><td>10 Mbps</td></tr><tr><td>Green</td><td>100 Mbps</td></tr><tr><td>Blinking Green</td><td>1000 Mbps</td></tr></tbody></table><br>Power over Ethernet (PoE) Mode LED: (PoE supported, PoE mode LED present)<table><thead><tr><th>Colour</th><th>Description</th><tr></thead><tbody><tr><td>NIL</td><td>PoE mode unselected, port not denied power, not in fault mode<br>PoE off</td></tr><tr><td>Green</td><td>PoE mode selected, Port LEDs shows diff colours, diff meanings<br>PoE on</td></tr><tr><td>Green-Amber</td><td>PoE denied, power to be supplied to powered device exceeds switch power capacity</td></tr><tr><td>Amber</td><td>PoE disabled on port</td></tr><tr><td>Blinking Amber</td><td>PoE mode unselected, >= 1 port denied power or PoE fault</td></tr></tbody></table><br>"
Switch Mode ,"Between Switch and Router/Switch, use trunk."
Switch Operation,"Switches use their CAM table which maps MAC addresses to ports (interface) to make frame forwarding decisions.<br><br>When a frame is received, the switch checks if the Source MAC address is in the CAM table, if not, it adds it and its port to the table. Otherwise, it sends the frame to the port associated with that MAC address in addr table.<br>If the destination MAC address is not in the CAM table, the switch broadcasts the frame to all ports except the ingress port. Otherwise, it sends it to the port associated with that MAC address in the CAM table."
Switch Ports ,"For when assigned VLAN is deleted, go to VLAN deletion."
Switch Verification commands,"<b>show interfaces <interface></b>: disp. interface stat and config.<br><b>show startup-config</b>: disp. current startup config.<br><b>show interfaces <i>interface</i> switchport</b>: Display encapsulation type, voice VLAN ID, access mode VLAN, Verify Trunk Encapsulation, etc.<br><b>show running-config</b>: Display current running config.<br><b>show flash</b>: Display info about flash file sys.<br><b>show version</b>: Display sys. hardware and software stat.<br><b>show history</b>: disp. history of command entered.<br><b>show ip[v6] interface <interface id></b>: disp. IP info about an interface.<br><b>show mac address-table</b>: disp. MAC address table.<br>"
Switch Virtual Interface (SVI) Inter-VLAN Routing, An SVI needs to be created for each VLAN.<br><img src='data/images/C328_SVI_InterVLAN.png'>
Switching ,REDIRECT:Switch Operation
Switchport commands,Enter switchport mode <mode> first. <mode> can be access or trunk. <br>Access: switchport mode access     Trunk: switchport mode trunk<br>Allow VLANs on trunks: switchport trunk allowed vlan <vlan list> (NOTE: ONLY the VLANs listed will be allowed)
Telnet ,"Sends everything in plain text, including usernames & passwords. Use SSH instead as it's more secure."
Telnet Configuration ,REDIRECT:SSH/Telnet Configuration.
Telnet Port,TCP port 23
Transport Input ,"Specifies which connection (SSH/Telnet/both) to allow on vty lines. To configure, go to vty lines (line vty 0-15) then type transport input <all | ssh | telnet>"
Trunking ,"Trunk ports do not show in show vlan brief as they do not belong to a vlan. Trunk port sends/expects to receive tagged traffic.  | CFI | VID (2 bytes, 3 bits, 1 bit, 12 bits) Tag: |ethernet type(0X8100) | Pri | CFI | VID| (2 bytes, 3 bits, 1 bit, 12 bits)."
Two-Tier topographly,"In a typical two-tier spine-leaf topology, every lower-tier switch, or the leaf layer, is connected to each of the top-tier switches, or the spine layer in a full-mesh topology.<br><br>However, the lower-tier switches are not connected to each other due to scalability issues in large networks. "
Types of Wireless Networks,"WPAN - Wireless Personal-Area Network, low powered transmitters, short range network, based on 802.15 standard and 2.4 GHz. WLAN - Wireless LAN, uses transmitters to cover medium sized network. Suitable for home, office and campus. Based on 802.11 standard, uses 2.4 or 5 GHz.  WMAN - Wireless Metropolitan Area Network, uses transmitters to cover a larger geographic area, suitable for cities / districts, use specific licensed frequencies. WWAN - Wireless Wide Area Networks, uses transmitters to cover an extensive geographic area, suitable for national and global comms, also use specific licensed frequencies."
Untagged frames ,Use native vlan (see VLAN types - native)
URI and URL,A URI is a string of characters that identifies a specific network resource while a URL defines the network location of a specific resource on the network.<img src='data/images/C328_URL_Breakdown.png'>
Verification Commands ,"<samp>show running-config</samp> - Shows currently running configuration.<br><b>show ip interface</samp> - Shows IP configuration of interfaces.<br><samp>show vlan</samp> - Shows VLAN configuration.<br><samp>show interfaces trunk</samp> - Shows trunk configuration, along with native VLAN.<br><br><h3>EtherChannel</h3><br><samp>show etherchannel summary</samp> (Priviledged Exec) - Verify ports used in an EtherChannel"
Violation modes,REDIRECT:Port Security Violation.
VLAN benefits ,"Smaller bcast domains, more security as devices can only comm. in same vlan, improved network efficiency & perf., cost reduction as no need to buy switches, simple project & app mgment. Separate functions makes specialised apps easier."
VLAN communication ,Devices can only communicate within the same vlan. e.g. broadcast cannot go from vlan 20 to vlan 30.
VLAN creation ,"In global config, enter vlan <vlan id>, then name <vlan-name>"
VLAN deletion ,"To delete only 1 vlan, in global config, enter no vlan <vlan id>. To delete all vlans, in exec mode, run delete flash:vlan.dat. Ports won't be disabled, but they will just stop communicating with the attached devices."
VLAN double-tagging attack,A VLAN Hopping Attack where the attacker embeds a hidden 802.1Q tag inside the frame that already has an 802.1Q tag. This allows the frame to go to a VLAn that the original 802.1Q tag did not specify.<br><br>The native and user VLANs being the same makes it vulnerable to VLAN double-tagging attacks.
VLAN tag field ,Type - Value for the tag protocol ID value. VLAN ID - VLAN number. User Priority - Value that supports level or service implementation. Canonical Format Identifier - Identifier that enables Token Ring frames to be carried across Ethernet links.
VLAN types ,"<ul><li><b>Default</b> (vlan 1, default mgment vlan)</li><li><b>data</b> (separate network into groups of users or devices), <b>management</b> (for SSH, Telnet, HTTP(S), SNMP)</li><li><b>native</b> (default vlan 1, used for trunks, untagged across trunks, provide a common identifier across trunks)</li><li><b>voice</b> (for VoIP, delay < 150ms, priority)</li></ul>"
What is a function of the data plane of a network device?,Forwarding traffic flows
What is REST?,"Architecture style for designing web service applications. REST is not a protocol or service, but rather a style of software architecture for designing web service applications."
What is the function of the key contained in most RESTful APIs?,It is used to authenticate the requesting source.<br>Related questions:<i><ul><li>Function of key in REST APIs?</li></ul></i>
What is the most widely used API for web services?,REST
What mitigation plan is best for thwarting a DoS attack that is creating a MAC address table overflow?,Enable port security.
What pre-populates the FIB on Cisco devices that use CEF to process packets?,The Routing Table
Which cloud model provides services for a specific organization or entity?,A private cloud
Which component in a traditional infrastructure device provides Layer 2 and Layer 3 functions to create data paths within a network?,Control plane
Which is a characteristic of a Type 1 hypervisor?,<b>Installed directly on a server?</b><br<<br><b>Explanation:</b> Type 1 hypervisors are installed directly on a server and are known as 'bare metal' solutions giving direct access to hardware resources. They also require a management console and are best suited for enterprise environments.?
Which Layer 2 attack will result in legitimate users not getting valid IP addresses?,DHCP Starvation
Which network traffic management technology is a basic element in SDN implementations?,OpenFlow
Which one of the following statements describes the behaviour of a switch when the MAC address/CAM table is full?,It treats all frames as unknown unicast and floods all incoming frames to all ports within the local VLAN.
Which statement describes the concept of cloud computing?,Separation of application from hardware
Which three Cisco products focus on endpoint security solutions? (Choose three.),"Web Security Appliance, Email Security Appliance, NAC Appliance."
Which two concepts is for switch ports to connect only end devices and not to another switch? ,"Edge Port, PortFast"
Which two layers of the OSI model are associated with SDN network control plane functions that make forwarding decisions?,"<b>Layer 2, Layer 3</b><br><br><b>Explanation:</b> The SDN control plane uses the Layer 2 ARP table and the Layer 3 routing table to make decisions about forwarding traffic."
Which type of Hypervisor is implemented when a user with a laptop running the Mac OS installs a Windows virtual OS instance?,"<b>Type 2</b><br><br><b>Explanation:</b> Type 2 hypervisors, also know as hosted hypervisors, are installed on top of an existing operating system, such as Mac OS, Windows, or Linux."
Which type of hypervisor would most likely be used in a data center?,<b>Type 1</b><br><br><b>Explanation:</b> The two type of hypervisors are Type 1 and Type 2. Type 1 hypervisors are usually used on enterprise servers. Enterprise servers rather than virtualized PCs are more likely to be in a data center.
Why Active Clients for IPv6 is 0 ,"The state is not maintained by the DHCPv6 server under stateless mode. When the command ipv6 nd other-config-flag is set, the DHCPv6 does not maintain state information. (Stateless)"
Why DHCPDISCOVER is broadcast ,Client doesn't have IP address yet to send unicast messages.
Why DHCPREQUEST is broadcast ,"Client may have received offers from multiple servers, broadcast is to decline those offers."
Why ISP assigns DHCP to Wireless Router in SOHO environment ,Easy IP address management
Windows failed to get IPv4 address ,Windows will automatically set the IP address to start with 168.254.
Wireless antennas,"Omnidirectional - 360 deg coverage, ideal for home, open office area, conference room, outdoors. Directional - Focus radio signal in one direction, stronger signal strength in one direction and reduced in other directions. Multiple Input Multiple Output (MIMO) - Multiple antennas to increase bandwidth for 802.11n/ac/ax networks, up to eight transmit and receive antennas can be used."
Wireless network not showing,Access point may be operating in active mode.
Wireless security modes,"Personal - One shared password for all users. Enterprise -Users need to login with username and password, RADIUS server authenticates them."
